symbol,accuracy,accuracy_std,win_rate,win_rate_std,precision_bullish,precision_bullish_std,recall_bullish,recall_bullish_std,profit_factor,profit_factor_std,sample_count,sample_count_std,n_windows
ASIANPAINT,49.35064935064934,6.622103264406215,35.16483516483516,35.9161198293195,50.3065253455987,7.7334940626159305,54.87405104112503,17.468896193114738,1.5458600222866619,1.2209108322937787,99.0,0.0,7
BRITANNIA,49.33554817275748,7.027972027012022,13.095238095238093,23.510021021585114,50.17657446120211,10.502401239546815,48.4038199997607,18.633821348294124,1.4856419500488738,1.475857445251309,86.0,0.0,7
INDUSTOWER,49.261083743842356,5.711831570090668,8.403361344537815,20.583947418346035,52.76098901098901,10.61794725524922,29.381896929066745,20.84777308639725,0.8945569569795471,0.7034522091184573,87.0,0.0,7
LT,49.09688013136289,4.375340753521914,35.99439775910364,36.09697750434618,56.55417840311624,18.73275232828095,44.72938169015076,22.188894125603507,inf,,87.0,0.0,7
HINDALCO,49.09688013136289,5.883899135359249,12.789115646258503,20.24698255670886,53.38970889298863,25.041541076438303,44.41322410627186,27.576398339444818,1.4678367877095393,1.6011109065811948,87.0,0.0,7
TATASTEEL,49.06204906204907,4.280634047385663,17.207792207792206,21.10639345862988,60.6210395706194,12.959580676710075,30.86703277622656,18.19790572860377,0.40489240028324425,0.3703843449710392,99.0,0.0,7
CIPLA,48.93267651888342,3.4677688147689456,24.37229437229437,24.615024673269644,48.819123939412634,27.21425574011525,36.690857776230175,23.838226532238007,inf,,87.0,0.0,7
INDUSINDBK,48.93267651888342,2.8059125600385992,7.359307359307359,12.320562312344334,51.18559218559218,8.847813797040807,40.14246926840912,19.324072516321408,2.54135352215642,4.185454124732719,87.0,0.0,7
HAVELLS,48.917748917748916,4.414735509604145,46.97802197802198,22.774973818551278,50.72157817184849,4.629569888445857,55.62277005100134,22.77680063349275,1.2733726515765373,0.9401314491096044,99.0,0.0,7
BOSCHLTD,48.91774891774891,7.28108271950526,52.39495798319327,39.07495255579312,48.86075602920546,11.108527656189077,47.06935293962812,32.82802568777901,1.339823540136106,0.8929793807735532,99.0,0.0,7
MARUTI,48.768472906403936,5.592573519187652,23.809523809523807,27.96985743921602,48.362007045081,4.814105404457744,47.28369771923779,27.18782170499726,inf,,87.0,0.0,7
BHEL,48.629148629148624,6.070904464058479,65.3565732513101,34.99568121917376,60.987659849728814,10.196777736174255,42.67974175316059,29.137301760036667,inf,,99.0,0.0,7
COFORGE,48.60426929392447,3.6199355804677524,24.603174603174605,35.36869834151935,51.37176274018379,9.686166637174049,33.26508760204412,16.707675630553048,7.070955012355811,10.719501145933979,87.0,0.0,7
BAJAJFINSV,48.440065681444985,2.708115353443457,30.952380952380953,38.243758105259545,48.4736543265955,4.289550736609523,27.580700512290967,13.207062670288941,0.9016725267635465,0.7565976664493967,87.0,0.0,7
TITAN,48.340548340548345,2.9783214199928265,18.095238095238095,28.666508463414115,42.34111927937284,19.56961424222282,34.38756473912414,22.466599344120688,0.4957697763622867,0.5205477623615709,99.0,0.0,7
WIPRO,48.11165845648604,4.815395171959008,14.285714285714286,34.99271061118826,54.030217962106505,19.480805431344383,30.502685778611465,15.363865309596386,1.5804061740150313,0.8580480829915716,87.0,0.0,7
LUPIN,47.947454844006565,6.104312083888703,47.63513513513514,35.624103504448634,49.518423149505274,6.913099066987228,47.611642546933744,29.758538348088308,inf,,87.0,0.0,7
TECHM,47.61904761904763,4.7534038837865795,19.047619047619044,34.99271061118826,40.76004716467132,17.672986799813923,25.127477296391103,15.678828596461214,11.97454865997984,25.706858558632263,87.0,0.0,7
ICICIBANK,47.454844006568145,3.567415596453275,54.04142426201249,34.35013003618389,52.12768040326065,11.897423941558461,63.33239901252548,25.662412459754986,inf,,87.0,0.0,7
RBLBANK,47.29064039408867,3.8579113709263497,18.095238095238095,28.666508463414115,47.53459753459754,4.235473688792881,40.43062379797073,29.129870344321887,0.9725870964014032,0.7761950593791112,87.0,0.0,7
ALKEM,46.962233169129725,3.4987316506835002,45.714285714285715,42.71404682207444,48.00965564581923,4.775657945991055,54.092457745265015,23.910169246752773,inf,,87.0,0.0,7
