date,close,high,low,open,volume
2022-08-10,38287.40625,38402.50256758975,38154.85701040139,38298.40612206288,163900
2022-08-11,38879.3984375,38931.64782855268,38648.44800414183,38712.498038912374,200900
2022-08-12,39041.84765625,39088.44477168754,38739.499602842676,38941.997252627385,125300
2022-08-16,39239.19140625,39444.14214412405,39119.44280099981,39283.64401349645,0
2022-08-17,39461.2421875,39504.0424730467,39202.346748468866,39350.84502859512,169800
2022-08-18,39655.6875,39703.23772855038,39290.69174252466,39323.9413560481,137200
2022-08-19,38985.49609375,39758.68632577778,38847.946911222076,39732.18663378138,148100
2022-08-22,38297.3046875,38732.4011907951,38246.805274695886,38693.19852163497,124300
2022-08-23,38697.19921875,38869.447219198795,37950.411012885525,37955.008615763974,176400
2022-08-24,39038.046875,39120.34670097401,38551.75173830708,38552.251732503515,214900
2022-08-25,38950.296875,39471.29081406086,38803.247804432984,39189.59487239689,333400
2022-08-26,38986.6953125,39336.64437019792,38846.34928742936,39129.1936563052,196300
2022-08-29,38276.25390625,38396.65484923479,37943.410122361645,38111.15817075209,158000
2022-08-30,39536.2890625,39606.08902998059,38472.25068644028,38516.50017055356,176800
2022-09-01,39300.79296875,39667.18714543041,38802.84954061363,38806.24793859346,191200
2022-09-02,39420.54296875,39595.39250409117,39199.994744477226,39421.84373491926,133900
2022-09-05,39805.2890625,39864.73759284759,39406.94211278015,39411.59440265754,214100
2022-09-06,39666.0390625,40073.28433012389,39563.841031337826,39892.485649837174,210200
2022-09-07,39455.44140625,39571.592404567426,39257.79525817987,39337.29433730401,138900
2022-09-08,40208.48046875,40265.28058782487,39705.935546162895,39763.43487583637,203800
2022-09-09,40415.23046875,40685.47733433219,40279.83360163029,40520.28003159838,207000
2022-09-12,40573.52734375,40684.42448936752,40377.4280656841,40539.97695334109,147000
2022-09-13,40872.625,40903.82385498074,40693.474745088024,40801.62582782897,176400
2022-09-14,41404.91796875,41626.41539846129,40288.43092462966,40308.33303743262,218400
2022-09-15,41208.71875,41839.66061234929,41153.02018066165,41533.214966570275,245300
2022-09-16,40776.328125,41162.02287299352,40501.58130971048,40976.724239621006,244200
2022-09-19,40903.921875,41183.77017704965,40509.426471178245,40685.127549124045,206000
2022-09-20,41467.8203125,41677.16554316215,41206.823336553105,41303.66987068642,175200
2022-09-21,41202.96875,41501.215272140566,40888.67163377578,41282.1201707635,151300
2022-09-22,40630.12890625,41158.72041331745,40359.72970809354,40888.5751184573,209500
2022-09-23,39545.7890625,40527.92605241533,39412.23983787201,40428.88033187166,226200
2022-09-26,38615.80078125,39228.942086059105,38491.75144306961,39027.397555632575,241800
2022-09-27,38358.703125,39050.04666157906,38184.45514787345,38811.24865257446,168700
2022-09-28,37759.4140625,38368.35622573277,37625.76326729688,38080.80877615548,210600
2022-09-29,37647.3125,38282.95355070553,37536.21222859797,38092.40889002798,253000
2022-09-30,38631.5,38810.54869921765,37385.91682776734,37659.56208323766,246100
2022-10-03,38029.20703125,38641.1530533725,37962.80936442989,38444.45221148561,172900
2022-10-04,39109.59765625,39177.04609354033,38596.45125782994,38699.950058689654,241100
2022-10-06,39282.39453125,39607.8907442624,39232.44198742317,39343.24147957582,158800
2022-10-07,39177.59375,39234.59308506694,38807.04729140729,39093.043955076486,165000
2022-10-10,39092.6484375,39315.243513638445,38517.854318719685,38641.102890138834,159700
2022-10-11,38712.0,39174.4946331561,38622.30182211855,39058.39832410177,177600
2022-10-12,39118.09765625,39163.647909868036,38605.95124495471,38783.749966670875,195800
2022-10-13,38623.55078125,39060.84647644702,38437.50216387478,38957.195338231824,158900
2022-10-14,39305.14453125,39570.3914470194,39195.84502090976,39445.59211690753,185600
2022-10-17,39919.984375,39974.23374329936,39146.24338473958,39295.14399463325,201600
2022-10-18,40318.28125,40434.88145687805,40139.38489239193,40251.582806702085,245200
2022-10-19,40372.73046875,40643.12967301388,40194.732535405645,40556.17755757661,232900
2022-10-20,40099.0859375,40207.88545750487,39848.389624916344,40149.0345772265,262800
2022-10-21,40783.578125,41031.77446730909,40354.9815296674,40370.28213359293,324200
2022-10-24,41304.41796875,41426.768108026496,41200.66917559555,41347.87058829255,74300
2022-10-25,41122.2734375,41530.16714795477,41020.97383020246,41513.16734496403,351800
2022-10-27,41298.8203125,41511.31784031264,41178.16937239799,41440.21710499562,239400
2022-10-28,40990.375,41481.91616024174,40838.82598068995,41236.32135932722,237100
2022-10-31,41307.41796875,41353.218217272726,41105.62344093047,41265.21924083606,237200
2022-11-01,41289.0703125,41676.76501976088,41188.071487793575,41551.91491010484,304400
2022-11-02,41146.171875,41473.82042386448,41059.973654613575,41472.12122479492,175800
2022-11-03,41297.87109375,41477.51744120386,40818.673543842415,40873.2236904437,263600
2022-11-04,41257.96875,41515.71574841311,41050.670382838485,41314.37043692542,190400
2022-11-07,41686.21484375,41778.912985389434,41336.57046895981,41740.16343564171,393400
2022-11-09,41782.71484375,41948.412141618865,41667.415399133315,41914.36566130992,490500
2022-11-10,41603.265625,41643.41359506859,41318.12050736358,41462.36882792137,253400
