symbol,window_id,train_ratio,train_size,val_size,test_size,test_start,test_end,oos_accuracy,auc,f1,precision,recall,tp,fp,tn,fn,lgbm_acc,xgb_acc,lstm_acc,bilstm_acc,gru_acc,cnn_lstm_acc,cnn_gru_acc,tcn_gru_acc,tcn_transformer_acc,nbeats_acc,dir_acc_up,dir_acc_down,pct_neutral,pct_up,pct_down,temperature,dl_models_trained
EXIDEIND,6,0.95,947,105,56,2025-12-16,2026-04-21,0.5178571428571429,0.6145833333333334,0.5263157894736842,0.45454545454545453,0.625,15,18,14,9,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.6086956521739131,0.0,0.5892857142857143,0.4107142857142857,1.0,0
BOSCHLTD,1,0.7,782,86,124,2024-01-05,2024-10-01,0.4838709677419355,0.44050632911392407,0.5616438356164384,0.6119402985074627,0.5189873417721519,41,26,19,38,0.5887096774193549,0.6370967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6119402985074627,0.33333333333333337,0.0,0.5403225806451613,0.4596774193548387,0.11605967857186175,0
BOSCHLTD,2,0.75,837,93,124,2024-05-31,2025-02-21,0.5,0.472490221642764,0.6125,0.5157894736842106,0.7538461538461538,49,46,13,16,0.47580645161290325,0.5241935483870968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5157894736842106,0.4482758620689655,0.0,0.7661290322580645,0.23387096774193547,0.20980598247199286,0
BOSCHLTD,3,0.8,893,99,124,2024-10-07,2025-07-22,0.5241935483870968,0.5428194993412384,0.6628571428571428,0.5471698113207547,0.8405797101449275,58,48,7,11,0.5725806451612904,0.5564516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5471698113207547,0.38888888888888884,0.0,0.8548387096774194,0.14516129032258066,0.2812012651913138,0
BOSCHLTD,4,0.85,949,105,124,2025-02-24,2025-12-01,0.5887096774193549,0.5193121693121693,0.6792452830188679,0.6067415730337079,0.7714285714285715,54,35,19,16,0.5806451612903226,0.5564516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6067415730337079,0.5428571428571429,0.0,0.717741935483871,0.28225806451612906,0.11539565611812742,0
BOSCHLTD,5,0.9,1005,111,125,2025-07-25,2026-04-21,0.48,0.4404761904761905,0.5962732919254659,0.45714285714285713,0.8571428571428571,48,57,12,8,0.472,0.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45714285714285713,0.6,0.0,0.84,0.16,0.7556778251825457,0
BOSCHLTD,6,0.95,1061,117,63,2025-12-03,2026-04-21,0.47619047619047616,0.4520408163265307,0.5714285714285714,0.4489795918367347,0.7857142857142857,22,27,8,6,0.5238095238095238,0.49206349206349204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4489795918367347,0.5714285714285714,0.0,0.7777777777777778,0.2222222222222222,0.501907298988883,0
MOTHERSON,1,0.7,752,83,119,2024-05-16,2024-12-30,0.46218487394957986,0.467409948542024,0.43859649122807015,0.5208333333333334,0.3787878787878788,25,23,30,41,0.4117647058823529,0.5042016806722689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5208333333333334,0.4225352112676056,0.0,0.40336134453781514,0.5966386554621849,0.5332986128618118,0
MOTHERSON,2,0.75,805,89,120,2024-09-12,2025-04-25,0.4583333333333333,0.4704895104895105,0.5323741007194245,0.44047619047619047,0.6727272727272727,37,47,18,18,0.45,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44047619047619047,0.5,0.0,0.7,0.3,0.21850110413770568,0
MOTHERSON,3,0.8,859,95,119,2024-12-31,2025-08-05,0.5210084033613446,0.6139061616732616,0.6586826347305389,0.5045871559633027,0.9482758620689655,55,54,7,3,0.5546218487394958,0.48739495798319327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5045871559633027,0.7,0.0,0.9159663865546218,0.08403361344537816,1.0,0
MOTHERSON,4,0.85,913,101,119,2025-04-29,2025-12-10,0.47058823529411764,0.49575551782682514,0.5935483870967742,0.4946236559139785,0.7419354838709677,46,47,10,16,0.48739495798319327,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4946236559139785,0.3846153846153846,0.0,0.7815126050420168,0.2184873949579832,1.0,0
MOTHERSON,5,0.9,966,107,120,2025-08-06,2026-04-21,0.4583333333333333,0.4283333333333334,0.5038167938931297,0.4647887323943662,0.55,33,38,22,27,0.55,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4647887323943662,0.44897959183673475,0.0,0.5916666666666667,0.4083333333333333,0.6540628069530334,0
MOTHERSON,6,0.95,1020,113,60,2025-12-11,2026-04-21,0.38333333333333336,0.4285714285714286,0.3728813559322034,0.3548387096774194,0.39285714285714285,11,20,12,17,0.4166666666666667,0.5166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3548387096774194,0.4137931034482759,0.0,0.5166666666666667,0.48333333333333334,1.0,0
DRREDDY,1,0.7,652,72,104,2024-04-16,2024-12-11,0.46153846153846156,0.4713281539030707,0.582089552238806,0.46987951807228917,0.7647058823529411,39,44,9,12,0.40384615384615385,0.49038461538461536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46987951807228917,0.4285714285714286,0.0,0.7980769230769231,0.20192307692307693,0.2105122668455002,0
DRREDDY,2,0.75,699,77,103,2024-08-09,2025-04-04,0.4077669902912621,0.4136363636363637,0.5481481481481482,0.42528735632183906,0.7708333333333334,37,50,5,11,0.44660194174757284,0.46601941747572817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42528735632183906,0.3125,0.0,0.8446601941747572,0.1553398058252427,0.10000660285425449,0
DRREDDY,3,0.8,746,82,103,2024-12-13,2025-07-30,0.5728155339805825,0.562929061784897,0.6901408450704225,0.5764705882352941,0.8596491228070176,49,36,10,8,0.5436893203883495,0.5533980582524272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5764705882352941,0.5555555555555556,0.0,0.8252427184466019,0.17475728155339806,1.0,0
DRREDDY,4,0.85,792,87,104,2025-04-07,2025-12-01,0.5769230769230769,0.5257296466973886,0.6901408450704225,0.6125,0.7903225806451613,49,31,11,13,0.5769230769230769,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6125,0.45833333333333337,0.0,0.7692307692307693,0.23076923076923078,1.0,0
DRREDDY,5,0.9,838,93,104,2025-07-31,2026-04-16,0.5192307692307693,0.5047080979284368,0.647887323943662,0.5542168674698795,0.7796610169491526,46,37,8,13,0.6057692307692307,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5542168674698795,0.38095238095238093,0.0,0.7980769230769231,0.20192307692307693,0.40572238732951205,0
DRREDDY,6,0.95,885,98,52,2025-12-02,2026-04-16,0.4423076923076923,0.39880952380952384,0.6133333333333333,0.48936170212765956,0.8214285714285714,23,24,0,5,0.4807692307692308,0.4807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48936170212765956,0.0,0.0,0.9038461538461539,0.09615384615384616,0.3463326492508955,0
SUNPHARMA,1,0.7,662,73,105,2024-03-13,2024-11-05,0.45714285714285713,0.48337112622826905,0.4864864864864865,0.5625,0.42857142857142855,27,21,21,36,0.5333333333333333,0.49523809523809526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.368421052631579,0.0,0.45714285714285713,0.5428571428571428,1.0,0
SUNPHARMA,2,0.75,710,78,105,2024-07-15,2025-03-11,0.5142857142857142,0.5112481857764877,0.5565217391304348,0.5161290322580645,0.6037735849056604,32,30,22,21,0.5428571428571428,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5161290322580645,0.5116279069767442,0.0,0.5904761904761905,0.4095238095238095,0.2756740430987226,0
SUNPHARMA,3,0.8,756,84,105,2024-11-06,2025-07-15,0.45714285714285713,0.4788011695906433,0.5581395348837209,0.4444444444444444,0.75,36,45,12,12,0.4666666666666667,0.44761904761904764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.5,0.0,0.7714285714285715,0.22857142857142856,0.4620102152983896,0
