iter	Passed	Remaining
783	10365	2855
784	10374	2841
785	10385	2827
786	10397	2814
787	10407	2800
788	10418	2786
789	10429	2772
790	10442	2759
791	10452	2745
792	10464	2731
793	10474	2717
794	10484	2703
795	10495	2689
796	10506	2676
797	10516	2662
798	10528	2648
799	10539	2634
800	10550	2621
801	10563	2607
802	10574	2594
803	10585	2580
804	10597	2566
805	10608	2553
806	10619	2539
807	10631	2526
808	10644	2513
809	10658	2500
810	10669	2486
811	10681	2473
812	10693	2459
813	10705	2446
814	10715	2432
815	10727	2419
816	10739	2405
817	10750	2391
818	10760	2378
819	10770	2364
820	10780	2350
821	10792	2337
822	10802	2323
823	10813	2309
824	10823	2295
825	10833	2282
826	10843	2268
827	10853	2254
828	10863	2240
829	10876	2227
830	10886	2214
831	10897	2200
832	10907	2186
833	10917	2173
834	10927	2159
835	10937	2145
836	10947	2132
837	10957	2118
838	10968	2104
839	10979	2091
840	10989	2077
841	11001	2064
842	11012	2050
843	11023	2037
844	11035	2024
845	11045	2010
846	11055	1997
847	11066	1983
848	11076	1970
849	11087	1956
850	11097	1943
851	11108	1929
852	11120	1916
853	11132	1903
854	11144	1890
855	11158	1877
856	11169	1863
857	11181	1850
858	11193	1837
859	11205	1824
860	11216	1810
861	11227	1797
862	11238	1784
863	11248	1770
864	11259	1757
865	11270	1743
866	11280	1730
867	11292	1717
868	11304	1704
869	11316	1691
870	11328	1677
871	11338	1664
872	11350	1651
873	11362	1638
874	11373	1624
875	11383	1611
876	11394	1598
877	11406	1584
878	11418	1571
879	11428	1558
880	11450	1546
881	11459	1533
882	11470	1519
883	11480	1506
884	11490	1493
885	11500	1479
886	11511	1466
887	11521	1453
888	11532	1439
889	11544	1426
890	11555	1413
891	11565	1400
892	11578	1387
893	11590	1374
894	11603	1361
895	11616	1348
896	11628	1335
897	11639	1322
898	11649	1308
899	11660	1295
900	11671	1282
901	11682	1269
902	11693	1256
903	11703	1242
904	11718	1230
905	11729	1216
906	11739	1203
907	11750	1190
908	11761	1177
909	11772	1164
910	11783	1151
911	11794	1138
912	11805	1124
913	11817	1111
914	11828	1098
915	11840	1085
916	11853	1072
917	11863	1059
918	11874	1046
919	11886	1033
920	11896	1020
921	11908	1007
922	11919	994
923	11930	981
924	11941	968
925	11951	955
926	11962	942
927	11973	928
928	11984	915
929	11997	903
930	12009	890
931	12019	876
932	12030	863
933	12041	850
934	12052	837
935	12062	824
936	12074	811
937	12085	798
