symbol,stock_idx,entry_day_idx,exit_day_idx,entry_px,entry_date,entry_score,gross_return,net_return,hold_days_real
EXIDEIND,98,205,218,0.8675659471941269,2024-09-24,0.8145899540322681,0.1036408870692056,0.1011408870692056,13
SAIL,63,204,219,0.8939993475304673,2024-09-23,0.9248092216075913,-0.030666840501204384,-0.03316684050120439,15
TCS,18,208,224,0.9898815360327845,2024-09-27,0.7256108589291084,-0.04646944621120219,-0.048969446211202194,16
INDUSTOWER,65,212,226,0.7709256561968274,2024-10-07,0.7321791972923666,-0.08548077706391877,-0.08798077706391877,14
SAIL,63,219,233,0.8665832121315696,2024-10-16,0.7201439683255944,-0.04877884225063556,-0.05127884225063556,14
HAL,89,218,234,1.0446960369721239,2024-10-15,0.5683326683626536,-0.045304217775142375,-0.04780421777514238,16
POWERGRID,55,218,239,1.2762642669492985,2024-10-15,0.7306860913480983,-0.10200019102511693,-0.10450019102511693,21
BAJAJ-AUTO,31,224,241,0.9851340768991858,2024-10-23,0.6907264838869016,-0.06754310694903032,-0.07004310694903032,17
EXIDEIND,98,229,242,0.8371564662792043,2024-10-30,0.8709527367578633,-0.08855454925733686,-0.09105454925733686,13
HAL,89,234,251,0.9973669002043106,2024-11-06,0.6899597891941899,-0.24204584057909306,-0.24454584057909307,17
EXIDEIND,98,242,254,0.7630224527499844,2024-11-22,0.9276588779450272,-0.10421430004833654,-0.10671430004833654,12
HCLTECH,21,233,256,1.4164601152624696,2024-11-05,0.7856025230165349,0.14711303303390633,0.14461303303390632,23
RBLBANK,97,239,256,0.49904503664489597,2024-11-13,0.7315863930202722,0.13068741674365558,0.12818741674365558,17
TCS,18,241,256,0.9376845238617674,2024-11-19,0.6997135573125947,0.08504211002350281,0.08254211002350281,15
RBLBANK,97,256,268,0.5642639433227603,2024-12-13,0.6216078435082566,-0.09166712145882128,-0.09416712145882128,12
EXIDEIND,98,256,270,0.6645954217261397,2024-12-13,0.728618445150794,-0.08431628560670912,-0.08681628560670912,14
BRITANNIA,38,251,270,0.8326985559428606,2024-12-06,0.6881832729049576,0.05159211350764914,0.04909211350764914,19
NTPC,54,256,272,0.9591923346736191,2024-12-13,0.5799283390996718,-0.07865807180636408,-0.08115807180636408,16
INFY,19,254,275,1.6729416190356479,2024-12-11,0.6371880443044957,-0.1358013490059069,-0.1383013490059069,21
EXIDEIND,98,270,283,0.6085592043349672,2025-01-07,0.909768168004696,-0.19382788457803835,-0.19632788457803835,13
HDFCBANK,1,270,285,1.2240144627260123,2025-01-07,0.7027389299855537,-4.4687138165855345e-05,-0.0025446871381658554,15
BAJAJ-AUTO,31,268,287,0.870352208619184,2025-01-03,0.745975813071282,-0.14971406828543965,-0.15221406828543965,19
INFY,19,276,294,1.430033079721298,2025-01-16,0.7558517674652973,-0.03369462929352729,-0.03619462929352729,18
IDFCFIRSTB,7,283,295,0.4268651816221589,2025-01-28,0.6947385420365385,0.04637643191148344,0.04387643191148344,12
TCS,18,272,296,0.6864808910391706,2025-01-09,0.690415304964814,-0.014688677799070238,-0.017188677799070236,24
GAIL,57,285,298,1.4294751584748195,2025-01-30,0.694541137955308,-0.017309328441823868,-0.019809328441823867,13
CUMMINSIND,72,287,302,0.7970708053307491,2025-02-01,0.5871790268926603,0.007985778481592432,0.005485778481592431,15
POWERGRID,55,295,307,0.9920764711824182,2025-02-12,0.656285763655735,0.025053730411891406,0.022553730411891407,12
BEL,88,298,311,1.218482768940181,2025-02-17,0.6874195057959297,0.12017394644249513,0.11767394644249513,13
HINDUNILVR,35,294,311,0.9095059512778394,2025-02-11,0.7528671394191121,-0.0523451324356331,-0.054845132435633104,17
COFORGE,26,296,312,1.6310402256943977,2025-02-13,0.5928390267751361,-0.08588796423095246,-0.08838796423095246,16
BPCL,53,304,317,0.977958085254964,2025-03-03,0.7227476484160659,0.1934001388628761,0.1909001388628761,13
DMART,83,307,320,0.8746657079638412,2025-03-06,0.5162794382305613,0.14814291766699195,0.14564291766699194,13
ULTRACEMCO,73,312,326,1.316043951682114,2025-03-13,0.47725268404211596,0.059935833683955275,0.05743583368395527,14
ALKEM,50,312,327,0.8701541666135975,2025-03-13,0.5141437228919716,0.0021782999308952444,-0.0003217000691047556,15
BHARTIARTL,64,312,328,1.7817481983720573,2025-03-13,0.5236583562440119,0.2972372538074659,0.2947372538074659,16
TCS,18,320,332,0.6084263315134958,2025-03-27,0.7779457766677024,-0.061147687666208594,-0.0636476876662086,12
HINDUNILVR,35,317,333,0.8828468064379363,2025-03-24,0.9292407594334473,0.03368499426706695,0.03118499426706695,16
M&M,29,328,342,1.4136913535568087,2025-04-16,0.845137475318292,0.1921478202911624,0.1896478202911624,14
HCLTECH,21,328,344,0.9815681973459819,2025-04-16,0.4878067397963607,0.16240761795936054,0.15990761795936054,16
IRFC,90,332,346,1.002336973426231,2025-04-24,0.662305822678137,0.07894698601323302,0.07644698601323302,14
ITC,36,328,351,1.1756338149741483,2025-04-16,0.5098744966210862,0.00948351813713355,0.00698351813713355,23
MARICO,40,333,352,1.4416011440883265,2025-04-25,0.7943515965446782,0.002275363342346237,-0.0002246366576537629,19
GAIL,57,343,360,2.2300324582919018,2025-05-14,0.5851520105034633,0.018061534520811495,0.015561534520811495,17
TATAELXSI,27,344,363,0.48162656644280327,2025-05-15,0.5121428137606924,0.029865273604826603,0.027365273604826604,19
M&M,29,347,364,1.6765211227412304,2025-05-20,0.8298818054670454,0.15202623453293418,0.14952623453293418,17
PIDILITIND,79,351,365,1.271341636252081,2025-05-26,0.6275284672267364,-0.010738188505230783,-0.013238188505230784,14
MARICO,40,352,375,1.4448813104858695,2025-05-28,0.8219253574213758,0.032325081796331645,0.029825081796331646,23
IDFCFIRSTB,7,360,376,0.7873255492812448,2025-06-09,0.6203338950739098,0.06812707072314073,0.06562707072314072,16
ICICIGI,14,363,380,1.1061205276919408,2025-06-12,0.6384012422252672,0.038265878563379596,0.035765878563379594,17
M&M,29,364,382,1.9313963161465069,2025-06-13,0.7783986655460617,0.02910250360689881,0.026602503606898812,18
LTIM,23,365,388,0.9317300172925229,2025-06-16,0.4926459901144504,-0.04859478829107977,-0.051094788291079773,23
COLPAL,41,376,390,0.4481284452777875,2025-07-02,0.8435663594618587,-0.06132429624645286,-0.06382429624645286,14
IRFC,90,375,391,1.2299310245191397,2025-07-01,0.7640661529125189,-0.032979320478315644,-0.035479320478315646,16
IDFCFIRSTB,7,380,396,0.8431409952350036,2025-07-09,0.8098319023017052,-0.09809897148754065,-0.10059897148754066,16
BRITANNIA,38,388,403,1.1975050261098577,2025-07-21,0.6516342392085392,-0.015445336092452133,-0.017945336092452132,15
MARICO,40,390,406,1.463570737894343,2025-07-23,0.8839892080711043,-0.03760280597831456,-0.04010280597831456,16
SBILIFE,13,382,408,1.4208051349658108,2025-07-11,0.6525990247626438,0.09005538552961712,0.08755538552961711,26
IRFC,90,391,408,1.1893687350953,2025-07-24,0.6839102236926798,-0.09219608798829404,-0.09469608798829404,17
NAUKRI,93,396,409,1.2419766054503156,2025-07-31,0.6398559665729208,0.014723820861131998,0.012223820861131997,13
HINDUNILVR,35,403,421,1.1165201958209205,2025-08-11,0.7875110381825988,0.0323213958432651,0.0298213958432651,18
ETERNAL,92,408,427,2.3112248216790525,2025-08-20,0.51201789525711,0.11536338570299054,0.11286338570299054,19
ADANIPORTS,87,406,427,0.9738569319299256,2025-08-14,0.6056790813383693,0.11029460976180094,0.10779460976180094,21
MARICO,40,409,427,1.4662219117495183,2025-08-21,0.6259411926397433,0.00961340324522686,0.007113403245226859,18
TORNTPHARM,48,408,433,1.9359893255288174,2025-08-20,0.5295507813560544,-0.055951581999362676,-0.05845158199936268,25
COLPAL,41,421,439,0.39401888083794606,2025-09-11,0.607525862885058,-0.06411861214567516,-0.06661861214567516,18
FEDERALBNK,8,427,441,2.439105123786544,2025-09-19,0.4179814317380491,0.09486573173130286,0.09236573173130286,14
ETERNAL,92,427,444,2.5778555422287384,2025-09-19,0.5416703286893176,0.04082328794448031,0.03832328794448031,17
DIVISLAB,46,427,449,3.8578234393841537,2025-09-19,0.4560787545173334,0.03108770974121855,0.02858770974121855,22
ITC,36,439,453,1.0502806154925748,2025-10-09,0.6841607276398026,0.04151732776482997,0.03901732776482997,14
LUPIN,47,433,456,1.469880984427529,2025-09-29,0.687566482321424,0.04314954879325783,0.04064954879325783,23
ICICIBANK,2,446,461,1.7388634627213884,2025-10-20,0.5080094320167633,-0.006644469213659243,-0.009144469213659244,15
HCLTECH,21,446,463,1.2640406881991388,2025-10-20,0.567762495362497,0.07149704848742267,0.06899704848742266,17
BHARTIARTL,64,456,470,2.887516524662476,2025-11-07,0.7466081382112221,0.044466185297823424,0.04196618529782342,14
M&M,29,449,472,2.394481556894982,2025-10-27,0.78567265915526,0.03563892168169658,0.033138921681696576,23
IDFCFIRSTB,7,461,476,0.8240977360849527,2025-11-14,0.7958003136378445,-0.018260775635009274,-0.020760775635009273,15
COLPAL,41,453,478,0.36373883594612055,2025-10-31,0.7018407762291695,-0.025444453087411723,-0.02794445308741172,25
ETERNAL,92,470,488,2.3482046068311204,2025-11-27,0.5941276136901363,-0.2769995331878522,-0.2794995331878522,18
SHREECEM,76,478,491,1.1852099640683187,2025-12-10,0.5752149912758613,0.02665636468997512,0.024156364689975122,13
LUPIN,47,467,495,1.5661766343995103,2025-11-24,0.6411745688447159,0.08526837627305417,0.08276837627305417,28
M&M,29,472,495,2.4798182975694294,2025-12-02,0.6992087056203052,-0.006509236046118749,-0.00900923604611875,23
IDFCFIRSTB,7,476,498,0.8090490722249863,2025-12-08,0.6876498896468878,0.07276490290467796,0.07026490290467796,22
CUMMINSIND,72,488,504,2.1312966872984775,2025-12-24,0.649384670937497,-0.07914149006821247,-0.08164149006821247,16
HDFCLIFE,12,495,512,1.4966613739465835,2026-01-07,0.47735996069710274,-0.06687378133172828,-0.06937378133172828,17
AMBUJACEM,75,491,513,0.7402165451780028,2025-12-31,0.48014845559582225,-0.0538396592689272,-0.0563396592689272,22
RELIANCE,51,495,515,0.960235909115321,2026-01-07,0.5396475397843905,-0.026546456568195986,-0.029046456568195985,20
SIEMENS,68,498,517,0.9725343020799488,2026-01-12,0.47417883245284986,0.06555283787671806,0.06305283787671806,19
MANAPPURAM,96,504,520,2.6557872032199423,2026-01-22,0.627695312657972,0.016315960091147774,0.013815960091147774,16
CUMMINSIND,72,515,526,2.1317309511481404,2026-02-10,0.47182319228646064,0.2375364348857727,0.2350364348857727,11
AMBUJACEM,75,515,528,0.7123349831727586,2026-02-10,0.4635349784470809,-0.2742116223186868,-0.2767116223186868,13
ETERNAL,92,517,528,1.6497042457880937,2026-02-12,0.5604063035812049,-0.194161075873598,-0.196661075873598,11
VEDL,62,515,530,2.505059272538305,2026-02-10,0.4385527408073514,0.23145961015019534,0.22895961015019534,15
ICICIBANK,2,520,535,1.7772371059814542,2026-02-18,0.4626327065753358,-0.24948700080901587,-0.25198700080901587,15
IDFCFIRSTB,7,528,539,0.587497041708425,2026-03-05,0.6338740298162432,-0.10582387217975087,-0.10832387217975087,11
ADANIPORTS,87,526,540,1.1883966635744454,2026-02-27,0.6765131702063849,-0.09693839457651332,-0.09943839457651332,14
IRFC,90,528,541,0.7563686430641173,2026-03-05,0.7084907871413508,-0.08012163797718341,-0.08262163797718342,13
