symbol,strategy,n_trades,total_return,win_rate,sharpe,max_dd
BHARTIARTL,primary_meta_0.55_0.60,191,-0.06096489540175565,0.5602094240837696,-0.40974979573574144,0.20703779340803874
BHARTIARTL,primary_meta_0.60_0.65,69,-0.014043397014774972,0.5652173913043478,-0.26352898700586874,0.1318069221656324
BHARTIARTL,PRIM+META+REGIME_gate,151,-0.026005963870879945,0.5562913907284768,-0.27031326920838844,0.1465476438112112
BHARTIARTL,PRIM+META+REGIME_0.55,158,-0.05095572881303101,0.5569620253164557,-0.42253806836602653,0.16164508591296317
ITC,primary_only_0.58,192,-0.4543450125771715,0.4739583333333333,-2.867331755906057,0.505917135947796
ITC,primary_meta_0.58_0.60,124,-0.21191728209376737,0.5161290322580645,-1.8713444744018433,0.36284084659613774
ITC,primary_meta_0.55_0.60,144,-0.22506619547933004,0.5069444444444444,-1.7595584060308527,0.36980095309956906
ITC,primary_meta_0.60_0.65,51,-0.009320521805136206,0.5294117647058824,-0.36660189898550716,0.11429919665007747
ITC,PRIM+META+REGIME_gate,91,-0.2277926369980834,0.4945054945054945,-2.7089456030226824,0.3316196916053545
ITC,PRIM+META+REGIME_0.55,104,-0.21880309805485765,0.5,-2.3193291760484627,0.33293245518619025
ASIANPAINT,primary_only_0.58,265,-0.6668646568871932,0.44150943396226416,-3.6359692014336495,0.6952006897933835
ASIANPAINT,primary_meta_0.58_0.60,116,-0.34688724925319914,0.41379310344827586,-3.5581136157128808,0.4381649298360342
ASIANPAINT,primary_meta_0.55_0.60,125,-0.35716666843891964,0.432,-3.4708964644827613,0.44348735724387084
ASIANPAINT,primary_meta_0.60_0.65,93,-0.30708726681172127,0.40860215053763443,-3.650462486681493,0.41421989366514417
ASIANPAINT,PRIM+META+REGIME_gate,104,-0.3117877809009403,0.4326923076923077,-3.357285930799583,0.42205749882742827
ASIANPAINT,PRIM+META+REGIME_0.55,113,-0.32261963478951494,0.45132743362831856,-3.2757381473913583,0.42535754551426935
TITAN,primary_only_0.58,185,-0.36650093146337726,0.518918918918919,-1.981568365557558,0.39796850721817223
TITAN,primary_meta_0.58_0.60,101,-0.20141880602320983,0.5544554455445545,-1.540593628374574,0.2783408931618685
TITAN,primary_meta_0.55_0.60,123,-0.2250537828344934,0.5528455284552846,-1.543108125002088,0.2622364025397634
TITAN,primary_meta_0.60_0.65,54,-0.17093181285812453,0.5555555555555556,-2.461462106327274,0.2536484106081511
TITAN,PRIM+META+REGIME_gate,78,-0.1677078866403291,0.5641025641025641,-1.8526952629593676,0.23637626535402306
TITAN,PRIM+META+REGIME_0.55,96,-0.17487907127555125,0.5625,-1.6780424218699532,0.2302316329417203
SUNPHARMA,primary_only_0.58,373,-0.19915703712564237,0.5683646112600537,-0.7261436051867671,0.41590239591277756
SUNPHARMA,primary_meta_0.58_0.60,168,-0.19267254928110844,0.5476190476190477,-1.4216735813073251,0.2374414448155986
SUNPHARMA,primary_meta_0.55_0.60,180,-0.21719892565955523,0.55,-1.4874430971760442,0.2586259472639745
SUNPHARMA,primary_meta_0.60_0.65,66,0.03824202074751093,0.5606060606060606,0.44570037891907605,0.1348545039143864
SUNPHARMA,PRIM+META+REGIME_gate,131,-0.15010881468826187,0.549618320610687,-1.3824400723836439,0.23228606445277047
SUNPHARMA,PRIM+META+REGIME_0.55,140,-0.180056441777956,0.55,-1.518995038638418,0.2264515099031781
NTPC,primary_only_0.58,247,-0.49525738961526544,0.5182186234817814,-1.799762414486962,0.555466434967933
NTPC,primary_meta_0.58_0.60,72,-0.2464723316841464,0.4722222222222222,-2.923270158023095,0.32127589128988054
NTPC,primary_meta_0.55_0.60,78,-0.2733982832315627,0.46153846153846156,-3.055705148719816,0.33688204783687475
NTPC,primary_meta_0.60_0.65,71,-0.25404302469224216,0.4647887323943662,-3.0554593068466422,0.3212758912898804
NTPC,PRIM+META+REGIME_gate,67,-0.2255957914030996,0.47761194029850745,-2.866538004732129,0.3024717892097628
NTPC,PRIM+META+REGIME_0.55,72,-0.2773797511357947,0.4583333333333333,-3.451850914676688,0.34051565175264825
TATASTEEL,primary_only_0.58,314,-0.31599639589271744,0.535031847133758,-0.8462156308668776,0.5690670612692189
TATASTEEL,primary_meta_0.58_0.60,81,-0.03883505162622969,0.5679012345679012,-0.27003375210286834,0.16401206476411548
