symbol,entry_date,exit_date,hold_days,gross_return,net_return,weight
HDFCBANK,2025-01-27,2025-01-31,4,0.038018062950664566,0.035518062950664564,0.2
INFY,2025-01-28,2025-02-01,4,0.023392055523009603,0.020892055523009604,0.2
BHARTIARTL,2025-01-29,2025-02-03,5,0.03242838571258844,0.029928385712588438,0.2
HDFCBANK,2025-01-31,2025-02-04,4,0.013039085648628657,0.010539085648628656,0.2
RELIANCE,2025-01-29,2025-02-06,8,0.020646294891692785,0.018146294891692786,0.2
NTPC,2025-02-01,2025-02-06,5,-0.015423480710341053,-0.017923480710341052,0.2
TATASTEEL,2025-02-03,2025-02-06,3,0.005461804327411723,0.0029618043274117233,0.2
WIPRO,2025-01-30,2025-02-10,11,0.05657575340135779,0.054075753401357785,0.2
BHARTIARTL,2025-02-06,2025-02-14,8,0.06007105107810373,0.05757105107810373,0.2
NTPC,2025-02-06,2025-02-14,8,-0.019855577463732454,-0.022355577463732453,0.2
RELIANCE,2025-02-07,2025-02-14,7,-0.03903845444939258,-0.04153845444939258,0.2
ASIANPAINT,2025-02-04,2025-02-17,13,-0.02731536237930232,-0.02981536237930232,0.2
TATASTEEL,2025-02-10,2025-02-19,9,0.01648774413153986,0.01398774413153986,0.2
NTPC,2025-02-14,2025-02-21,7,0.08623281577511022,0.08373281577511021,0.2
TECHM,2025-02-19,2025-02-24,5,-0.0427689767152335,-0.0452689767152335,0.2
BHARTIARTL,2025-02-14,2025-02-28,14,-0.08552461321435778,-0.08802461321435778,0.2
RELIANCE,2025-02-14,2025-02-28,14,-0.0022180731378151908,-0.004718073137815191,0.2
NTPC,2025-02-21,2025-03-04,11,-0.03831416079545802,-0.04081416079545802,0.2
SUNPHARMA,2025-03-03,2025-03-10,7,0.016655021131105396,0.014155021131105396,0.2
BHARTIARTL,2025-03-03,2025-03-10,7,0.02202652754119927,0.01952652754119927,0.2
TCS,2025-02-17,2025-03-11,22,-0.10537845739677498,-0.10787845739677498,0.2
HCLTECH,2025-03-06,2025-03-13,7,-0.02657371775302264,-0.02907371775302264,0.2
SUNPHARMA,2025-03-10,2025-03-18,8,0.05758617724909865,0.055086177249098645,0.2
ASIANPAINT,2025-03-13,2025-03-21,8,0.030968365280896082,0.028468365280896083,0.2
BHARTIARTL,2025-03-13,2025-03-24,11,0.057151685427990095,0.05465168542799009,0.2
WIPRO,2025-03-13,2025-03-24,11,-0.007455451671110613,-0.009955451671110614,0.2
SUNPHARMA,2025-03-18,2025-03-24,6,0.047233452668830056,0.044733452668830054,0.2
ITC,2025-03-03,2025-03-26,23,0.02201546028123169,0.019515460281231693,0.2
TCS,2025-03-24,2025-03-27,3,0.006131345812065758,0.003631345812065758,0.2
BHARTIARTL,2025-03-24,2025-04-02,9,0.1813236122444326,0.1788236122444326,0.2
SUNPHARMA,2025-03-24,2025-04-02,9,-0.039864408287388686,-0.04236440828738869,0.2
HCLTECH,2025-03-25,2025-04-02,8,-0.05991130667297473,-0.06241130667297473,0.2
NTPC,2025-03-26,2025-04-02,7,-0.008177093099219879,-0.01067709309921988,0.2
TCS,2025-03-27,2025-04-03,7,-0.0679366214301873,-0.07043662143018731,0.2
HCLTECH,2025-04-02,2025-04-07,5,-0.10045504530394467,-0.10295504530394467,0.2
SUNPHARMA,2025-04-02,2025-04-07,5,-0.027601923973177067,-0.030101923973177066,0.2
INFY,2025-04-03,2025-04-08,5,-0.045238792909918946,-0.04773879290991895,0.2
TCS,2025-04-03,2025-04-09,6,-0.03861484666932258,-0.04111484666932258,0.2
NTPC,2025-04-02,2025-04-16,14,0.05883728383321385,0.05633728383321385,0.2
INFY,2025-04-16,2025-04-24,8,0.04125682902153205,0.03875682902153205,0.2
MARUTI,2025-04-17,2025-04-25,8,0.0002565953010984501,-0.00224340469890155,0.2
TCS,2025-04-17,2025-04-29,12,0.05262347119318633,0.05012347119318633,0.2
HCLTECH,2025-04-16,2025-05-05,19,0.11336187059215708,0.11086187059215707,0.2
MARUTI,2025-04-25,2025-05-08,13,0.05813081319809088,0.05563081319809088,0.2
ITC,2025-04-16,2025-05-09,23,-0.011510865355104594,-0.014010865355104594,0.2
BHARTIARTL,2025-04-29,2025-05-09,10,0.027192004268398184,0.024692004268398186,0.2
INFY,2025-04-24,2025-05-12,18,0.10568168879413298,0.10318168879413298,0.2
NTPC,2025-05-05,2025-05-12,7,0.015537449593633346,0.013037449593633345,0.2
MARUTI,2025-05-08,2025-05-14,6,0.007262734579324803,0.004762734579324803,0.2
HCLTECH,2025-05-09,2025-05-15,6,0.043519795997222444,0.04101979599722244,0.2
ITC,2025-05-09,2025-05-15,6,0.021485087446107887,0.018985087446107888,0.2
ASIANPAINT,2025-05-14,2025-05-19,5,0.021513437018226833,0.019013437018226834,0.2
SUNPHARMA,2025-05-14,2025-05-21,7,0.013815768394684458,0.011315768394684457,0.2
ITC,2025-05-15,2025-05-23,8,-0.015139239329146958,-0.017639239329146957,0.2
MARUTI,2025-05-14,2025-05-28,14,-0.03331522042163526,-0.03581522042163526,0.2
HCLTECH,2025-05-15,2025-05-28,13,-0.019861414059779703,-0.0223614140597797,0.2
SUNPHARMA,2025-05-21,2025-05-28,7,-0.03216313246586877,-0.03466313246586877,0.2
ASIANPAINT,2025-05-21,2025-05-29,8,-0.00782732564257227,-0.01032732564257227,0.2
ITC,2025-05-23,2025-06-05,13,-0.026625576314868726,-0.029125576314868725,0.2
MARUTI,2025-05-28,2025-06-05,8,-0.016624744301054317,-0.019124744301054316,0.2
TECHM,2025-05-30,2025-06-06,7,-0.00177897234261426,-0.0042789723426142606,0.2
HCLTECH,2025-05-28,2025-06-09,12,-0.005430554636486229,-0.00793055463648623,0.2
ITC,2025-06-05,2025-06-11,6,0.016821741226257236,0.014321741226257236,0.2
TECHM,2025-06-06,2025-06-11,5,0.042263292480701375,0.03976329248070137,0.2
HCLTECH,2025-06-09,2025-06-13,4,0.0598215403947886,0.057321540394788595,0.2
ASIANPAINT,2025-06-11,2025-06-17,6,0.025353179794371794,0.022853179794371795,0.2
BHARTIARTL,2025-06-11,2025-06-18,7,0.003064234583210368,0.0005642345832103678,0.2
AXISBANK,2025-06-05,2025-06-23,18,0.060663248144626536,0.058163248144626534,0.2
ASIANPAINT,2025-06-17,2025-06-23,6,-0.0003091069626693921,-0.002809106962669392,0.2
