symbol,fold_combo,n_train,n_test,n_trades,total_ret,win_rate,sharpe
COALINDIA,0+1,726,364,5,-0.14643995062110438,0.2,-5.714
COALINDIA,0+2,716,364,22,-0.0875078868114717,0.3181818181818182,-0.083
COALINDIA,0+4,716,364,22,3.797953168547086,0.45454545454545453,1.095
COALINDIA,0+5,718,367,36,2.5726914118714834,0.4722222222222222,0.792
COALINDIA,1+4,711,364,20,2.6210627188684947,0.55,1.399
COALINDIA,1+5,713,367,19,0.23289932528303936,0.6842105263157895,1.129
COALINDIA,2+4,711,364,17,0.07197147176097629,0.5882352941176471,0.502
COALINDIA,2+5,713,367,6,0.0168759371726519,0.8333333333333334,0.388
COALINDIA,3+4,721,364,15,-0.0215183681297888,0.4666666666666667,0.089
COFORGE,0+2,787,400,39,1.3032606222114977,0.5897435897435898,0.864
COFORGE,0+3,787,400,28,2.9176192642330108,0.6785714285714286,1.78
COFORGE,0+4,787,400,35,4.337115484290115,0.6857142857142857,1.207
COFORGE,0+5,790,402,26,2.8326628003329746,0.5,1.104
COFORGE,1+2,792,400,39,0.3953762101319538,0.6153846153846154,0.717
COFORGE,1+3,782,400,8,0.06501842688481063,0.375,0.766
COFORGE,1+4,782,400,21,0.8025227909388446,0.7142857142857143,1.985
COFORGE,2+3,792,400,39,0.026893649634037287,0.5897435897435898,0.254
COFORGE,2+4,782,400,39,0.3063399371178983,0.5384615384615384,0.532
COFORGE,2+5,785,402,39,-0.07230271645024955,0.46153846153846156,0.274
COFORGE,3+4,792,400,22,0.21756119420822229,0.5909090909090909,0.794
COFORGE,3+5,785,402,27,0.6391303534968928,0.6296296296296297,1.221
COFORGE,4+5,795,402,16,0.3682833912896646,0.5625,1.538
COLPAL,0+1,654,328,17,-0.25419034981528654,0.5294117647058824,-1.551
COLPAL,0+2,644,328,16,-0.11190074979901476,0.5,-0.763
COLPAL,0+4,644,328,25,0.26616879987219044,0.64,0.842
COLPAL,0+5,646,331,27,-0.39771131172246244,0.37037037037037035,-1.427
COLPAL,1+2,649,328,22,0.08954340950311757,0.6363636363636364,0.549
COLPAL,1+5,641,331,17,0.4142567745674153,0.35294117647058826,0.891
COLPAL,2+3,649,328,9,0.13307377068776538,0.6666666666666666,1.924
COLPAL,2+5,641,331,25,0.5482846301441526,0.48,0.927
CUMMINSIND,0+1,767,384,38,0.5687503851094116,0.5263157894736842,0.882
CUMMINSIND,0+2,757,384,30,0.7997196300233809,0.4666666666666667,0.82
CUMMINSIND,0+3,757,384,35,2.7712736323415985,0.5428571428571428,0.937
CUMMINSIND,0+4,757,384,38,4.256299480755999,0.5,0.811
CUMMINSIND,0+5,758,388,38,7.448075070343339,0.6052631578947368,0.871
CUMMINSIND,1+2,762,384,25,1.000822809703437,0.6,2.046
CUMMINSIND,1+4,752,384,26,0.5100735098574316,0.5769230769230769,1.166
CUMMINSIND,1+5,753,388,38,9.312229491648294,0.6842105263157895,1.267
CUMMINSIND,2+3,762,384,18,0.26679447975014425,0.5555555555555556,1.109
