symbol,model,oos_acc,n_oos,n_trades,total_return,win_rate,sharpe,max_dd,precision
SUNPHARMA,LGBM_V1_vol_0.5sigma,0.5508021390374331,374,90,-0.061500638992293744,0.5888888888888889,-0.8487297699227124,0.10850486822467185,0.5888888888888889
NTPC,LGBM_V1_vol_0.5sigma,0.48655256723716384,409,61,0.11124841427019483,0.5901639344262295,1.4736434454579137,0.05173781722044115,0.5901639344262295
TATASTEEL,LGBM_V1_vol_0.5sigma,0.5211581291759465,449,0,0.0,0.0,0.0,0.0,0.0
SBIN,LGBM_V3_TB_2s_5d,0.5652173913043478,207,55,-0.1488483264196192,0.509090909090909,-3.002401394273628,0.22087562832029797,0.5636363636363636
HDFCBANK,LGBM_V3_TB_2s_5d,0.4666666666666667,105,16,-0.010131005724859254,0.5625,-1.0424544988603672,0.07516777697895419,0.625
ICICIBANK,LGBM_V3_TB_2s_5d,0.46846846846846846,111,98,-0.2389108523875002,0.4489795918367347,-2.561799540742588,0.35775693682885085,0.45918367346938777
AXISBANK,LGBM_V3_TB_2s_5d,0.6090909090909091,110,0,0.0,0.0,0.0,0.0,0.0
KOTAKBANK,LGBM_V3_TB_2s_5d,0.4230769230769231,52,0,0.0,0.0,0.0,0.0,0.0
TCS,LGBM_V3_TB_2s_5d,0.5192307692307693,52,24,-0.07142303001644312,0.375,-3.479331926885818,0.135829802370204,0.625
INFY,LGBM_V3_TB_2s_5d,0.6146788990825688,109,57,0.0814341587429126,0.5263157894736842,0.9654796196731277,0.1598654885670002,0.6842105263157895
HCLTECH,LGBM_V3_TB_2s_5d,0.5,172,139,-0.30297264281315284,0.48201438848920863,-1.8669083156389554,0.39503605332679675,0.48201438848920863
WIPRO,LGBM_V3_TB_2s_5d,0.48214285714285715,168,21,-0.14039253243619454,0.38095238095238093,-7.069047085780429,0.1323495586189101,0.3333333333333333
